user_id,item_id,rating
0,0,4.0
0,49,5.0
0,518,4.0
0,766,4.0
0,82,5.0
0,115,5.0
0,35,5.0
0,3,5.0
0,469,4.0
0,73,1.0
0,278,1.0
0,148,4.0
0,203,4.0
0,728,4.0
0,396,2.0
0,171,5.0
0,30,5.0
0,679,1.0
0,99,4.0
0,1020,3.0
0,46,3.0
0,216,3.0
0,117,2.0
0,80,5.0
0,618,2.0
0,182,5.0
0,370,4.0
0,65,5.0
0,48,4.0
0,243,5.0
0,34,3.0
0,71,5.0
1,1,2.0
1,202,3.0
1,315,5.0
1,317,2.0
1,371,4.0
1,64,4.0
1,474,3.0
1,605,2.0
1,612,2.0
1,750,4.0
1,99,4.0
1,654,4.0
1,394,3.0
1,15,3.0
1,295,2.0
1,659,1.0
1,971,5.0
1,321,3.0
1,260,4.0
1,582,4.0
1,31,5.0
1,1080,1.0
1,850,4.0
1,530,2.0
1,70,3.0
1,378,4.0
1,461,4.0
1,214,3.0
1,610,5.0
1,831,3.0
1,1158,3.0
1,805,3.0
1,7,4.0
1,492,3.0
1,63,4.0
1,215,2.0
1,711,3.0
1,182,4.0
1,566,4.0
1,418,3.0
1,879,2.0
1,949,3.0
1,900,5.0
1,1252,4.0
1,687,3.0
1,516,2.0
1,195,3.0
1,443,4.0
1,532,5.0
1,39,5.0
1,845,2.0
1,601,4.0
1,98,5.0
1,385,4.0
1,349,5.0
1,56,4.0
1,242,4.0
1,634,4.0
1,704,4.0
1,273,4.0
1,916,3.0
1,358,4.0
1,647,3.0
1,630,3.0
1,1242,4.0
1,302,3.0
1,431,5.0
1,635,3.0
1,269,1.0
1,1113,4.0
1,285,4.0
1,328,3.0
1,50,3.0
1,191,4.0
1,1040,3.0
1,598,5.0
1,380,4.0
1,280,4.0
1,457,4.0
1,535,3.0
1,82,3.0
1,953,3.0
1,1145,5.0
1,313,5.0
1,207,3.0
1,264,3.0
1,252,2.0
1,100,5.0
1,47,5.0
1,1119,4.0
1,875,4.0
1,1028,2.0
1,855,4.0
1,277,2.0
1,186,4.0
1,40,4.0
1,694,4.0
1,162,4.0
1,788,4.0
1,780,4.0
1,1182,5.0
1,84,3.0
1,595,4.0
1,929,4.0
1,633,4.0
1,775,5.0
1,190,4.0
1,196,4.0
1,444,2.0
1,112,5.0
1,928,4.0
1,1422,4.0
1,65,4.0
1,174,4.0
1,501,4.0
1,1087,4.0
1,250,4.0
1,628,4.0
1,249,1.0
1,265,4.0
1,114,2.0
1,46,5.0
1,276,3.0
1,248,2.0
1,741,3.0
1,342,4.0
1,111,3.0
1,809,3.0
1,931,4.0
1,727,4.0
1,208,4.0
1,48,4.0
1,101,4.0
1,179,4.0
1,346,1.0
1,147,3.0
1,298,4.0
1,722,3.0
1,449,3.0
1,676,1.0
1,203,4.0
1,678,4.0
1,798,5.0
1,290,2.0
1,1035,4.0
1,204,4.0
1,199,3.0
1,206,3.0
1,797,3.0
1,121,3.0
1,115,4.0
1,134,4.0
1,701,4.0
1,209,5.0
1,94,4.0
1,650,5.0
1,244,5.0
1,102,4.0
1,228,3.0
1,752,4.0
1,927,4.0
1,382,4.0
1,25,4.0
1,489,5.0
1,148,3.0
1,16,3.0
1,546,3.0
1,340,4.0
1,169,3.0
1,1445,2.0
1,159,4.0
1,314,2.0
1,547,2.0
1,287,3.0
1,554,4.0
1,93,3.0
1,262,4.0
1,75,4.0
1,97,3.0
1,660,2.0
1,43,5.0
1,22,3.0
1,918,4.0
1,842,3.0
1,69,1.0
1,878,5.0
1,89,3.0
1,896,3.0
1,124,4.0
1,103,5.0
1,479,4.0
1,656,4.0
1,210,3.0
1,837,3.0
1,352,4.0
1,335,3.0
1,35,4.0
1,319,4.0
1,1115,4.0
1,686,2.0
1,28,4.0
1,334,3.0
1,68,4.0
1,18,3.0
1,104,4.0
1,368,3.0
1,528,4.0
1,73,4.0
1,494,4.0
1,341,4.0
1,921,4.0
1,435,3.0
1,318,5.0
1,954,3.0
1,306,4.0
1,11,4.0
1,590,4.0
1,219,2.0
1,67,3.0
1,469,3.0
1,294,2.0
1,389,2.0
1,160,4.0
1,564,4.0
1,20,3.0
1,54,4.0
1,92,3.0
1,557,4.0
1,448,3.0
1,471,4.0
1,76,3.0
1,152,3.0
1,464,4.0
1,19,5.0
1,168,4.0
1,165,4.0
1,184,2.0
1,218,4.0
1,1058,4.0
1,225,3.0
1,411,4.0
1,192,3.0
1,1452,4.0
1,794,4.0
1,187,3.0
1,518,5.0
1,1014,2.0
1,540,4.0
1,413,4.0
1,62,4.0
1,877,4.0
1,289,3.0
1,288,4.0
1,398,4.0
1,177,4.0
1,513,3.0
1,386,4.0
1,688,4.0
1,828,3.0
1,417,4.0
1,247,4.0
1,410,5.0
1,499,3.0
1,772,1.0
1,299,3.0
1,71,4.0
1,468,2.0
1,481,3.0
1,49,3.0
1,120,4.0
1,292,3.0
1,592,4.0
1,475,3.0
1,278,4.0
2,2,1.0
2,92,4.0
2,195,4.0
2,864,4.0
2,415,4.0
2,1048,1.0
2,1238,3.0
2,113,5.0
